No.,屬性,類型,基因名稱,基因等級,等級,主/被,技能名稱,技能細節,目標,羈絆值消耗,基礎值【強化2】,技能特效【強化2】,固有,一般,稀有
495,雷,速度,耐痺基因【中】,M,1,被動,耐麻痺【中】,"有機率使麻痺無效。【發動率】略高機率發動。
【強化0】略低機率發動。
【強化1】中機率發動。
【強化2】略高機率發動。",,,,耐麻痺[75],,紅彩鳥、毒猛龍王、痺猛龍王、海龍、雷狼龍、骸蜘蛛、綠毛獸王、電龍、白海龍、金獅子、雷顎龍、金雷公雷狼龍、青電主電龍,毒妖鳥、黑狼鳥、毒怪鳥、紫毒鳥、飛雷龍、影蜘蛛、桃毛獸王、奇怪龍、紅怪龍、紅彩鳥、毒猛龍王、痺猛龍王、海龍、雷狼龍、骸蜘蛛、綠毛獸王、電龍、白海龍、金獅子、雷顎龍、金雷公雷狼龍、青電主電龍
496,雷,速度,耐痺基因【大】,L,1,被動,耐麻痺【大】,"有機率使麻痺無效。【發動率】特高機率發動。
【強化0】略高機率發動。
【強化1】高機率發動。
【強化2】特高機率發動。",,,,耐麻痺[90],,,紅彩鳥、毒猛龍王、痺猛龍王、海龍、雷狼龍、骸蜘蛛、綠毛獸王、電龍、白海龍、金獅子、雷顎龍、金雷公雷狼龍、青電主電龍、加爾克(雷)
497,雷,速度,耐痺基因【特大】,XL,1,被動,耐麻痺【特】,"有機率使麻痺無效。【發動率】隨時持續發動。
【強化0】特高機率發動。
【強化1】超高機率發動。
【強化2】隨時持續發動。",,,,耐麻痺[100],,毒妖鳥、黑狼鳥、毒怪鳥、紫毒鳥、飛雷龍、影蜘蛛、桃毛獸王、奇怪龍、紅怪龍、紅彩鳥、毒猛龍王、痺猛龍王、海龍、雷狼龍、骸蜘蛛、綠毛獸王、電龍、白海龍、金獅子、雷顎龍、金雷公雷狼龍、青電主電龍,毒妖鳥、黑狼鳥、毒怪鳥、紫毒鳥、飛雷龍、影蜘蛛、桃毛獸王、奇怪龍、紅怪龍、紅彩鳥、毒猛龍王、痺猛龍王、海龍、雷狼龍、骸蜘蛛、綠毛獸王、電龍、白海龍、金獅子、雷顎龍、金雷公雷狼龍、青電主電龍、加爾克(雷)
498,水,技巧,耐眠基因【小】,S,1,被動,耐睡眠【小】,"有機率使睡眠無效。【發動率】略低機率發動。
【強化0】特低機率發動。
【強化1】低機率發動。
【強化2】略低機率發動。",,,,耐睡眠[60],,毒妖鳥、黑狼鳥、白兔獸、紫毒鳥、冰鮫鯊、影蜘蛛、桃毛獸王、波波、冰土砂龍,毒妖鳥、黑狼鳥、白兔獸、紫毒鳥、冰鮫鯊、影蜘蛛、桃毛獸王、波波、冰土砂龍
499,水,技巧,耐眠基因【中】,M,1,被動,耐睡眠【中】,"有機率使睡眠無效。【發動率】略高機率發動。
【強化0】略低機率發動。
【強化1】中機率發動。
【強化2】略高機率發動。",,,,耐睡眠[75],,冰牙龍、風漂龍、毒猛龍王、痺猛龍王、巨獸、骸蜘蛛、綠毛獸王、銀嶺巨獸,毒妖鳥、黑狼鳥、白兔獸、紫毒鳥、冰鮫鯊、影蜘蛛、桃毛獸王、冰牙龍、波波、冰土砂龍、風漂龍、毒猛龍王、痺猛龍王、巨獸、骸蜘蛛、綠毛獸王、銀嶺巨獸
500,水,技巧,耐眠基因【大】,L,1,被動,耐睡眠【大】,"有機率使睡眠無效。【發動率】特高機率發動。
【強化0】略高機率發動。
【強化1】高機率發動。
【強化2】特高機率發動。",,,,耐睡眠[90],,,冰牙龍、風漂龍、毒猛龍王、痺猛龍王、巨獸、骸蜘蛛、綠毛獸王、銀嶺巨獸
501,水,技巧,耐眠基因【特大】,XL,1,被動,耐睡眠【特】,"有機率使睡眠無效。【發動率】隨時持續發動。
【強化0】特高機率發動。
【強化1】超高機率發動。
【強化2】隨時持續發動。",,,,耐睡眠[100],,毒妖鳥、黑狼鳥、白兔獸、紫毒鳥、冰鮫鯊、影蜘蛛、桃毛獸王、冰牙龍、波波、冰土砂龍、風漂龍、毒猛龍王、痺猛龍王、巨獸、骸蜘蛛、綠毛獸王、銀嶺巨獸,毒妖鳥、黑狼鳥、白兔獸、紫毒鳥、冰鮫鯊、影蜘蛛、桃毛獸王、冰牙龍、波波、冰土砂龍、風漂龍、毒猛龍王、痺猛龍王、巨獸、骸蜘蛛、綠毛獸王、銀嶺巨獸
502,無,力量,耐臭基因【小】,S,1,被動,耐惡臭【小】,"有機率使惡臭無效。【發動率】略低機率發動。
【強化0】特低機率發動。
【強化1】低機率發動。
【強化2】略低機率發動。",,,,耐惡臭[60],,毒妖鳥、黑狼鳥、水獸、奇猿狐、紫毒鳥、影蜘蛛、桃毛獸王、土砂龍,毒妖鳥、黑狼鳥、水獸、奇猿狐、紫毒鳥、影蜘蛛、桃毛獸王、土砂龍
503,無,力量,耐臭基因【中】,M,1,被動,耐惡臭【中】,"有機率使惡臭無效。【發動率】略高機率發動。
【強化0】略低機率發動。
【強化1】中機率發動。
【強化2】略高機率發動。",,,,耐惡臭[75],,泡狐龍、毒猛龍王、砂龍王、痺猛龍王、紫水獸、骸蜘蛛、綠毛獸王,毒妖鳥、黑狼鳥、水獸、奇猿狐、紫毒鳥、影蜘蛛、桃毛獸王、土砂龍、泡狐龍、毒猛龍王、砂龍王、痺猛龍王、紫水獸、骸蜘蛛、綠毛獸王
504,無,力量,耐臭基因【大】,L,1,被動,耐惡臭【大】,"有機率使惡臭無效。【發動率】特高機率發動。
【強化0】略高機率發動。
【強化1】高機率發動。
【強化2】特高機率發動。",,,,耐惡臭[90],,,泡狐龍、毒猛龍王、砂龍王、痺猛龍王、紫水獸、骸蜘蛛、綠毛獸王
505,無,力量,耐臭基因【特大】,XL,1,被動,耐惡臭【特】,"有機率使惡臭無效。【發動率】隨時持續發動。
【強化0】特高機率發動。
【強化1】超高機率發動。
【強化2】隨時持續發動。",,,,耐惡臭[100],,毒妖鳥、黑狼鳥、水獸、奇猿狐、紫毒鳥、影蜘蛛、桃毛獸王、土砂龍、泡狐龍、毒猛龍王、砂龍王、痺猛龍王、紫水獸、骸蜘蛛、綠毛獸王,毒妖鳥、黑狼鳥、水獸、奇猿狐、紫毒鳥、影蜘蛛、桃毛獸王、土砂龍、泡狐龍、毒猛龍王、砂龍王、痺猛龍王、紫水獸、骸蜘蛛、綠毛獸王
506,冰,速度,耐封基因【小】,S,1,被動,耐技能封印【小】,"有機率使技能封印無效。【發動率】略低機率發動。
【強化0】特低機率發動。
【強化1】低機率發動。
【強化2】略低機率發動。",,,,耐技能封印[60],,毒妖鳥、黑狼鳥、水獸、奇猿狐、紫毒鳥、影蜘蛛、桃毛獸王、土砂龍,毒妖鳥、黑狼鳥、水獸、奇猿狐、紫毒鳥、影蜘蛛、桃毛獸王、土砂龍
507,冰,速度,耐封基因【中】,M,1,被動,耐技能封印【中】,"有機率使技能封印無效。【發動率】略高機率發動。
【強化0】略低機率發動。
【強化1】中機率發動。
【強化2】略高機率發動。",,,,耐技能封印[75],,泡狐龍、毒猛龍王、砂龍王、痺猛龍王、紫水獸、骸蜘蛛、綠毛獸王,毒妖鳥、黑狼鳥、水獸、奇猿狐、紫毒鳥、影蜘蛛、桃毛獸王、土砂龍、泡狐龍、毒猛龍王、砂龍王、痺猛龍王、紫水獸、骸蜘蛛、綠毛獸王
508,冰,速度,耐封基因【大】,L,1,被動,耐技能封印【大】,"有機率使技能封印無效。【發動率】特高機率發動。
【強化0】略高機率發動。
【強化1】高機率發動。
【強化2】特高機率發動。",,,,耐技能封印[90],,滅盡龍、冰呪龍、鋼龍、麒麟、炎王龍、加爾克(冰),泡狐龍、毒猛龍王、砂龍王、痺猛龍王、紫水獸、滅盡龍、骸蜘蛛、綠毛獸王、冰呪龍、鋼龍、麒麟、炎王龍
509,冰,速度,耐封基因【特大】,XL,1,被動,耐技能封印【特】,"有機率使技能封印無效。【發動率】隨時持續發動。
【強化0】特高機率發動。
【強化1】超高機率發動。
【強化2】隨時持續發動。",,,,耐技能封印[100],,毒妖鳥、黑狼鳥、水獸、奇猿狐、紫毒鳥、影蜘蛛、桃毛獸王、土砂龍、泡狐龍、毒猛龍王、砂龍王、痺猛龍王、紫水獸、滅盡龍、骸蜘蛛、綠毛獸王、冰呪龍、鋼龍、麒麟、炎王龍、加爾克(冰),毒妖鳥、黑狼鳥、水獸、奇猿狐、紫毒鳥、影蜘蛛、桃毛獸王、土砂龍、泡狐龍、毒猛龍王、砂龍王、痺猛龍王、紫水獸、滅盡龍、骸蜘蛛、綠毛獸王、冰呪龍、鋼龍、麒麟、炎王龍
510,火,力量,耐爆破基因【小】,S,1,被動,耐爆破異常【小】,"有機率使爆破異常無效。【發動率】略低機率發動。
【強化0】特低機率發動。
【強化1】低機率發動。
【強化2】略低機率發動。",,,,耐爆破異常[60],,怪鳥、毒妖鳥、黑狼鳥、青怪鳥、岩龍、蠻顎龍、白猿狐、紫毒鳥、影蜘蛛、桃毛獸王,怪鳥、毒妖鳥、黑狼鳥、青怪鳥、岩龍、蠻顎龍、白猿狐、紫毒鳥、影蜘蛛、桃毛獸王
511,火,力量,耐爆破基因【中】,M,1,被動,耐爆破異常【中】,"有機率使爆破異常無效。【發動率】略高機率發動。
【強化0】略低機率發動。
【強化1】中機率發動。
【強化2】略高機率發動。",,,,耐爆破異常[75],,爆鎚龍、鎧龍、毒猛龍王、痺猛龍王、桃岩龍、黑鎧龍、斬龍、骸蜘蛛、爆鱗龍、綠毛獸王、碎龍、櫻火龍、火龍、蒼火龍、紫毒姬雌火龍、燼滅刃斬龍,怪鳥、毒妖鳥、黑狼鳥、青怪鳥、岩龍、蠻顎龍、白猿狐、紫毒鳥、影蜘蛛、桃毛獸王、爆鎚龍、鎧龍、毒猛龍王、痺猛龍王、桃岩龍、黑鎧龍、斬龍、骸蜘蛛、爆鱗龍、綠毛獸王、碎龍、櫻火龍、火龍、蒼火龍、紫毒姬雌火龍、燼滅刃斬龍
512,火,力量,耐爆破基因【大】,L,1,被動,耐爆破異常【大】,"有機率使爆破異常無效。【發動率】特高機率發動。
【強化0】略高機率發動。
【強化1】高機率發動。
【強化2】特高機率發動。",,,,耐爆破異常[90],,,爆鎚龍、鎧龍、毒猛龍王、痺猛龍王、桃岩龍、黑鎧龍、斬龍、骸蜘蛛、爆鱗龍、綠毛獸王、碎龍、櫻火龍、火龍、蒼火龍、紫毒姬雌火龍、燼滅刃斬龍
513,火,力量,耐爆破基因【特大】,XL,1,被動,耐爆破異常【特】,"有機率使爆破異常無效。【發動率】隨時持續發動。
【強化0】特高機率發動。
【強化1】超高機率發動。
【強化2】隨時持續發動。",,,,耐爆破異常[100],,怪鳥、毒妖鳥、黑狼鳥、青怪鳥、岩龍、蠻顎龍、白猿狐、紫毒鳥、影蜘蛛、桃毛獸王、爆鎚龍、鎧龍、毒猛龍王、痺猛龍王、桃岩龍、黑鎧龍、斬龍、骸蜘蛛、爆鱗龍、綠毛獸王、碎龍、櫻火龍、火龍、蒼火龍、紫毒姬雌火龍、燼滅刃斬龍,怪鳥、毒妖鳥、黑狼鳥、青怪鳥、岩龍、蠻顎龍、白猿狐、紫毒鳥、影蜘蛛、桃毛獸王、爆鎚龍、鎧龍、毒猛龍王、痺猛龍王、桃岩龍、黑鎧龍、斬龍、骸蜘蛛、爆鱗龍、綠毛獸王、碎龍、櫻火龍、火龍、蒼火龍、紫毒姬雌火龍、燼滅刃斬龍
514,龍,速度,耐裂基因【小】,S,1,被動,耐裂傷【小】,"有機率使裂傷無效。【發動率】略低機率發動。
【強化0】特低機率發動。
【強化1】低機率發動。
【強化2】略低機率發動。",,,,耐裂傷[60],,草食龍、毒妖鳥、黑狼鳥、雌火龍、紫毒鳥、眠狗龍王、影蜘蛛、桃毛獸王,草食龍、雌火龍、眠狗龍王
515,龍,速度,耐裂基因【中】,M,1,被動,耐裂傷【中】,"有機率使裂傷無效。【發動率】略高機率發動。
【強化0】略低機率發動。
【強化1】中機率發動。
【強化2】略高機率發動。",,,,耐裂傷[75],,毒猛龍王、痺猛龍王、獄狼龍、骸蜘蛛、綠毛獸王、恐暴龍,草食龍、雌火龍、眠狗龍王、獄狼龍、恐暴龍
516,龍,速度,耐裂基因【大】,L,1,被動,耐裂傷【大】,"有機率使裂傷無效。【發動率】特高機率發動。
【強化0】略高機率發動。
【強化1】高機率發動。
【強化2】特高機率發動。",,,,耐裂傷[90],,,獄狼龍、恐暴龍
517,龍,速度,耐裂基因【特大】,XL,1,被動,耐裂傷【特】,"有機率使裂傷無效。【發動率】隨時持續發動。
【強化0】特高機率發動。
【強化1】超高機率發動。
【強化2】隨時持續發動。",,,,耐裂傷[100],,草食龍、毒妖鳥、黑狼鳥、雌火龍、紫毒鳥、眠狗龍王、影蜘蛛、桃毛獸王、毒猛龍王、痺猛龍王、獄狼龍、骸蜘蛛、綠毛獸王、恐暴龍,草食龍、毒妖鳥、黑狼鳥、雌火龍、紫毒鳥、眠狗龍王、影蜘蛛、桃毛獸王、毒猛龍王、痺猛龍王、獄狼龍、骸蜘蛛、綠毛獸王、恐暴龍
518,無,技巧,耐盲眼基因【小】,S,1,被動,耐盲眼【小】,"有機率使盲眼無效。【發動率】略低機率發動。
【強化0】特低機率發動。
【強化1】低機率發動。
【強化2】略低機率發動。",,,,耐盲眼[60],,毒妖鳥、黑狼鳥、毒怪鳥、紫毒鳥、飛雷龍、影蜘蛛、桃毛獸王、奇怪龍、紅怪龍,毒妖鳥、黑狼鳥、毒怪鳥、紫毒鳥、飛雷龍、影蜘蛛、桃毛獸王、奇怪龍、紅怪龍
519,無,技巧,耐盲眼基因【中】,M,1,被動,耐盲眼【中】,"有機率使盲眼無效。【發動率】略高機率發動。
【強化0】略低機率發動。
【強化1】中機率發動。
【強化2】略高機率發動。",,,,耐盲眼[75],,紅彩鳥、毒猛龍王、痺猛龍王、海龍、雷狼龍、骸蜘蛛、綠毛獸王、電龍、白海龍、金獅子、雷顎龍、金雷公雷狼龍、青電主電龍,毒妖鳥、黑狼鳥、毒怪鳥、紫毒鳥、飛雷龍、影蜘蛛、桃毛獸王、奇怪龍、紅怪龍、紅彩鳥、毒猛龍王、痺猛龍王、海龍、雷狼龍、骸蜘蛛、綠毛獸王、電龍、白海龍、金獅子、雷顎龍、金雷公雷狼龍、青電主電龍
