類型,基因名稱,基因等級,主/被動,技能名稱,所需等級,消耗羈絆值,技能詳情,可持有隨行獸,隨行獸備註
力量,衝擊基因【中】,M,主動,除雪衝撞,30,20,對全體造成冰屬性中量傷害,巨獸,
力量,投擲基因【大】,L,主動,雪尾發射,1,21,對單體造成冰屬性大量傷害，中機率封印對手技能2回合,巨獸,
力量,雪罩基因【小】,S,主動,灑雪,1,9,對單體造成冰屬性小量傷害，低機率封印對手技能2回合,波波、冰土砂龍、冰牙龍,
力量,冷氣基因【大】,L,主動,冰結爆發,25,22,對全體造成冰屬性中量傷害，低機率封印對手技能2回合,風漂龍,
力量,毅力基因,L,被動,毅力,1,-,"體力超過一半時，即使受到致命傷害，也可免死1次
 【強化0】受到致死傷害時保留1HP不死",滅盡龍、加爾克(冰)、麒麟、炎王龍、鋼龍、冰呪龍,
力量,冰强化基因【小】,S,被動,冰屬性攻擊強化【小】,1,-,【強化0】冰屬性攻擊力極少量提升,波波、冰鮫鯊、白兔獸、冰土砂龍,
力量,冰强化基因【中】,M,被動,冰屬性攻擊強化【中】,1,-,【強化0】冰屬性攻擊力略微提升,波波、冰鮫鯊、白兔獸、冰土砂龍、巨獸、冰牙龍、風漂龍,
力量,冰强化基因【大】,L,被動,冰屬性攻擊強化【大】,1,-,【強化0】冰屬性攻擊力顯著提升,巨獸、冰牙龍、風漂龍,
力量,冰强化基因【特大】,XL,被動,冰屬性攻擊強化【特】,1,-,【強化0】冰屬性攻擊力大幅提升,波波、冰鮫鯊、白兔獸、冰土砂龍、巨獸、冰牙龍、風漂龍,皆為上位怪
技巧,先制基因T 【大】,L,主動,音速擊T,15,16,對單體造成冰屬性小量傷害，搶占先機的機率極高,鋼龍,
技巧,冰吐息基因 【特大】,XL,主動,鑽石浪潮,15,58,對全體造成冰屬性大量傷害，自身的防禦力中幅提升3回合,冰呪龍,
技巧,凍結基因【小】,S,主動,凍結氣體,10,16,對全體造成冰屬性小量傷害,冰鮫鯊,
技巧,凍結基因【中】,M,主動,堅冰突刺,1,10,對單體造成冰屬性中量傷害,冰鮫鯊,
技巧,凍結基因【大】,XL,主動,風雪吐息,40,50,對全體造成冰屬性大量傷害，必定令對手昏厥且防禦力降低3回合,冰呪龍,
技巧,冰耐性基因【小】,S,被動,冰屬性防禦強化【小】,1,-,【強化0】冰屬性防禦力極少量提升,波波、冰鮫鯊、白兔獸、冰土砂龍,
技巧,冰耐性基因【中】,M,被動,冰屬性防禦強化【中】,1,-,【強化0】冰屬性防禦力略微提升,波波、冰鮫鯊、白兔獸、冰土砂龍、巨獸、冰牙龍、風漂龍,
技巧,冰耐性基因【大】,L,被動,冰屬性防禦強化【大】,1,-,【強化0】冰屬性防禦力顯著提升,巨獸、冰牙龍、風漂龍,
技巧,冰耐性基因【特大】,XL,被動,冰屬性防禦強化【特】,1,-,【強化0】冰屬性防禦力大幅提升,波波、冰鮫鯊、白兔獸、冰土砂龍、巨獸、冰牙龍、風漂龍,皆為上位怪
技巧,危機感基因【小】,S,被動,危機感【小】,1,-,【強化0】體力低於一半時，會心率極少量提升,草食龍、雌火龍、眠狗龍王,
技巧,危機感基因【中】,M,被動,危機感【中】,1,-,【強化0】體力低於一半時，會心率略微提升,草食龍、雌火龍、眠狗龍王、恐暴龍、獄狼龍,
技巧,危機感基因【大】,L,被動,危機感【大】,1,-,【強化0】體力低於一半時，會心率顯著提升,恐暴龍、獄狼龍,
技巧,危機感基因【特大】,XL,被動,危機感【特】,1,-,【強化0】體力低於一半時，會心率大幅提升,草食龍、雌火龍、眠狗龍王、恐暴龍、獄狼龍,皆為上位怪
技巧,羈絆技能強化基因 【小】,S,被動,羈絆技能強化【小】,1,-,【強化0】羈絆技能的威力極少量提升,毒怪鳥、飛雷龍、奇怪龍、紅怪龍,
技巧,羈絆技能強化基因【中】,M,被動,羈絆技能強化【中】,1,-,【強化0】羈絆技能的威力略微提升,毒怪鳥、飛雷龍、奇怪龍、紅怪龍、雷狼龍、紅彩鳥、海龍、白海龍、電龍、雷顎龍、金雷公、金獅子,
技巧,羈絆技能強化基因【大】,L,被動,羈絆技能強化【大】,1,-,【強化0】羈絆技能的威力顯著提升,雷狼龍、紅彩鳥、海龍、白海龍、電龍、雷顎龍、金雷公、金獅子,
技巧,羈絆技能強化基因【特大】,XL,被動,羈絆技能強化【特】,1,-,【強化0】羈絆技能的威力大幅提升,毒怪鳥、飛雷龍、奇怪龍、紅怪龍、雷狼龍、紅彩鳥、海龍、白海龍、電龍、雷顎龍、金雷公、金獅子,皆為上位怪
技巧,正面對決者基因【小】,S,被動,正面對決者【小】,1,-,"正面對決中獲勝時的羈絆值上升量增加
 【強化0】羈絆值上升量極少量提升",怪鳥、青怪鳥、岩龍、蠻顎龍、白猿狐,
技巧,正面對決者基因 【中】,M,被動,正面對決者【中】,1,-,"正面對決中獲勝時的羈絆值上升量增加
 【強化0】羈絆值上升量略微提升",怪鳥、青怪鳥、岩龍、蠻顎龍、白猿狐、爆錘龍、桃岩龍、鎧龍、黑鎧龍、碎龍、滅盡龍、斬龍、爆鱗龍、火龍、蒼火龍、櫻火龍、紫毒姬、麒麟、炎王龍、鋼龍、冰呪龍,
技巧,正面對決者基因【大】,L,被動,正面對決者【大】,1,-,"正面對決中獲勝時的羈絆值上升量增加
 【強化0】羈絆值上升量顯著提升",爆錘龍、桃岩龍、鎧龍、黑鎧龍、碎龍、滅盡龍、斬龍、爆鱗龍、火龍、蒼火龍、櫻火龍、紫毒姬、麒麟、炎王龍、鋼龍、冰呪龍,
技巧,正面對決者基因【特大】,XL,被動,正面對決者【特】,1,-,"正面對決中獲勝時的羈絆值上升量增加
 【強化0】羈絆值上升量大幅提升",怪鳥、青怪鳥、岩龍、蠻顎龍、白猿狐、爆錘龍、桃岩龍、鎧龍、黑鎧龍、碎龍、滅盡龍、斬龍、爆鱗龍、火龍、蒼火龍、櫻火龍、紫毒姬、麒麟、炎王龍、鋼龍、冰呪龍,皆為上位怪
速度,龍捲基因【中】,M,主動,冰炫風,10,18,對全體造成冰屬性大量傷害，低機率封印對手技能2回合,冰牙龍,
速度,冷氣基因【小】,S,主動,寒冷衝擊,1,8,對單體造成冰屬性小量傷害,風漂龍,
速度,投擲基因【中】,M,主動,白霜發射,1,8,對單體造成冰屬性小量傷害,白兔獸,
速度,背水基因【大】,L,主動,復仇冰鑽,10,12,對單體造成冰屬性中量傷害，體力降低時攻擊力上升，封印對手技能,風漂龍,
速度,猛擊基因【中】,M,主動,冰結強襲,20,12,對單體造成冰屬性中量傷害，中機率封印對手技能2回合,冰牙龍,
速度,白兔基因【中】,M,主動,滑冰撞擊,15,18,對單體造成冰屬性小量傷害，命中率低，但命中必定會心,白兔獸,
速度,耐封基因【小】,S,被動,耐封技【小】,1,-,"有時可令技能封印無效化
 【強化0】極少發動",毒妖鳥、水獸、黑狼鳥、桃毛獸王、奇猿狐、影蜘蛛、土砂龍、紫毒鳥,
速度,耐封基因【中】,M,被動,耐封技【中】,1,-,"有時可令技能封印無效化
 【強化0】偶爾發動",毒妖鳥、水獸、黑狼鳥、桃毛獸王、奇猿狐、影蜘蛛、土砂龍、紅速龍王、黃速龍王、砂龍王、紫毒鳥、泡狐龍、紫水獸、骸蜘蛛、綠毛獸王,
速度,耐封基因【大】,L,被動,耐封技【大】,1,-,"有時可令技能封印無效化
 【強化0】較常發動",紅速龍王、黃速龍王、砂龍王、泡狐龍、紫水獸、骸蜘蛛、綠毛獸王、滅盡龍、麒麟、炎王龍、鋼龍、冰呪龍,
速度,耐封基因【特大】,XL,被動,耐封技【特】,1,-,"有時可令技能封印無效化
 【強化0】經常發動",毒妖鳥、水獸、黑狼鳥、桃毛獸王、奇猿狐、影蜘蛛、土砂龍、紅速龍王、黃速龍王、砂龍王、紫毒鳥、泡狐龍、紫水獸、骸蜘蛛、綠毛獸王、滅盡龍、麒麟、炎王龍、鋼龍、冰呪龍,皆為上位怪
無,連擊基因【大】,L,主動,冰擊,1,19,多次隨機對全體造成冰屬性大量傷害，中機率封印對手技能,冰呪龍,
無,冰罩基因【中】,M,主動,冰盔甲,20,7,"自身的冰屬性攻擊力中幅提升
 【強化0】效果回合：3",冰鮫鯊、冰土砂龍,
無,冰罩基因【大】,L,主動,霜雪護甲,15,17,"自身的冰屬性攻擊力小幅提升，防禦力中幅提升
 【強化0】效果回合：3",巨獸,
無,耐寒基因,S,被動,耐寒,1,-,持續令寒冷無效化,波波、冰鮫鯊、白兔獸、冰土砂龍、冰牙龍、鋼龍、冰呪龍、滅盡龍、麒麟、炎王龍,
無,守巢基因【小】,S,被動,守巢【小】,1,-,【強化0】討伐後的魔物歸巢率極少量提升,轟龍、一角龍、角龍、黑角龍、白一角龍、黑轟龍、風牙龍、千刃龍、白疾風、鏖魔、荒鉤爪,
無,守巢基因【中】,M,被動,守巢【中】,1,-,【強化0】討伐後的魔物歸巢率略為提升,轟龍、一角龍、角龍、黑角龍、白一角龍、黑轟龍、風牙龍、千刃龍、白疾風、鏖魔、荒鉤爪,
無,守巢基因【大】,L,被動,守巢【大】,1,-,【強化0】討伐後的魔物歸巢率顯著提升,轟龍、一角龍、角龍、黑角龍、白一角龍、黑轟龍、風牙龍、千刃龍、白疾風、鏖魔、荒鉤爪,
無,守巢基因【特大】,XL,被動,守巢【特】,1,-,【強化0】討伐後的魔物歸巢率大幅提升,青熊獸、背甲龍、彩鳥、搔鳥、千刃龍、轟龍、黑轟龍、角龍、黑角龍、狗龍王、野豬王、迅猛龍王、迅龍、綠迅龍、浮空龍、風牙龍、一角龍、白一角龍、白疾風、鏖魔、荒鉤爪,
力量,冰吐息基因【大】,L,主動,銀嶺爆射,25,22,對敵方全體造成冰屬性中量傷害。低機率使其陷入技能封印狀態2回合,銀嶺巨獸,
力量,投擲基因【特大】,XL,主動,銀嶺雪砲,1,38,對敵方全體造成冰屬性大量傷害,銀嶺巨獸,
無,幻獸基因【大】,L,主動,冰鬥氣,1,5,賦予自己的攻擊技能封印效果,冰麒麟,
速度,幻獸基因【特大】,XL,主動,冰尖災禍,40,46,對敵方全體造成冰屬性大量傷害。高幾率使其陷入技能封印狀態2回合,冰麒麟,